time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
1,-0.010636943641041098,0.005785792504747737,0.2961560038755337,-10.666767613920229,-8.961395594372084,-1.101708036806127,wait,wait_1
116,-0.04013597407633205,0.00031184242814782763,0.21864874227419495,-10.67970854566768,-7.371404395221276,-1.5220064443396213,wait,wait_1
216,-0.02738303303406574,0.005120177944898622,0.2032852566039562,-10.309853972866218,-6.333116219438232,-1.7528426418073089,wait,wait_1
316,0.0007996021988894792,0.010559154128432285,0.09601590368747707,-9.380632776382194,-5.070069911467975,-0.9553136076748718,wait,wait_1
416,-0.06210031246646306,0.018181319569945325,0.0705505061370134,-7.995720056117771,-4.2392562876208375,-1.4640587859159024,wait,wait_1
516,-0.13247588398830962,0.029155250431299205,0.013089783197641359,-8.979776316447502,-3.625561229374253,-3.253800190692883,wait,wait_1
616,-0.13838206851826979,-0.02253074695110322,0.08242495142161842,-8.065787637095712,-4.323912725779102,-5.039348072762887,wait,wait_1
716,-0.14324469515878704,0.005912906531691542,0.08363783434271807,-7.685029264925878,-5.43568426014401,-6.555175925311272,wait,wait_1
816,-0.1658642894371226,0.041353403938412664,0.1133096852201223,-10.357686641397462,-7.9765910014414105,-9.160455822826037,wait,wait_1
916,-0.08005643584525209,0.02477016721487046,0.17695406523048873,-16.99967507147239,-6.632016860814811,-10.340337619396172,wait,wait_1
1016,0.024122655785046538,0.061405135103166086,0.11703121918737884,-17.80078283658131,-6.085880313554563,-11.478365468147668,wait,wait_1
1116,0.15599943771578373,0.22516893782317635,0.020233342115879044,-13.01857013777778,-6.21998177177502,-11.744767092949719,wait,wait_1
1216,0.14483704421077853,0.16068308010041712,0.21358090826451778,-9.211838738310492,-7.063375579544944,-10.856693005082601,wait,wait_1
1316,0.100939220139822,0.07968237471520902,0.21765759773194787,-7.679484431980296,-4.544001564558879,-9.03631295117019,wait,wait_1
1416,0.10602735897864216,0.07241793667018415,0.10544973627388479,-0.7782949332810751,-5.169280202087068,-9.04010524295211,wait,wait_1
1516,0.1004309125980269,0.07469353883892299,0.16201766047894955,2.1181377485087545,-5.848316008896485,-7.572464332309482,wait,wait_1
1616,-0.011430336512606585,-0.03105447895526885,0.21044296095192433,-0.9857506648441671,-4.207039565966356,-5.026889028648331,wait,wait_1
1716,-0.0006384878731518837,-0.005452127926051609,0.04234101212322712,-3.6018507025821442,-1.8327472626651216,-4.181622937960858,wait,wait_1
1816,0.07301574729970656,0.013503800052106371,0.023058804026246077,-1.7197852092433634,-1.6659533174258108,-3.7284291716712517,wait,wait_1
1916,0.031040127116246135,0.031075521743297547,0.039244215151667594,-0.0388735627577923,-1.6602211665422424,-2.0853457701796847,wait,wait_1
2016,-0.026041116905817747,-0.03213110982388259,0.075922496111989,1.814254649551295,-0.5367768388857824,-0.9837823163831605,wait,wait_1
2116,-0.013984386643283086,-0.03201888162106277,0.09216320300817485,1.1878685768904684,-0.8922143551088866,-0.9590208475933693,wait,wait_1
2216,-0.024747694174842925,-0.03591618132054807,0.0726491735297441,2.8489693450657825,-1.7891231659353886,-0.851187058948995,wait,wait_1
2316,0.10211650750447063,-0.06116834528565405,0.1250381169366836,3.697382621504153,-2.3963119994220303,1.7319264094376756,wait,wait_1
2416,0.12357136519910768,-0.05145294850498437,0.22910218561887735,4.499912346620904,0.3320951739798563,3.7492467398238896,wait,wait_1
15,0.174589703412801,0.011611527338623992,0.22552993854224682,2.3553827418231346,2.1628042241533025,5.146491089158334,left,left_1
129,0.22431828311711546,0.04942167648613453,0.17766542837023733,2.74738323184084,4.7127863872112865,7.623675553913674,left,left_1
230,0.27740829842528325,0.07320330028116702,0.11902081479549409,0.8181606130323246,9.216265213156849,12.952107957530597,left,left_1
331,0.1788837656112201,0.09112988521158691,-0.014527122524380631,-1.8655385326288676,15.137749965046552,18.43189940221175,left,left_1
447,0.12289684520471837,0.10965642340958115,-0.023428572573661755,-3.3743042257075535,19.19041470529802,25.93076272593092,left,left_1
547,0.05106019363425671,0.1571440338671207,-0.003184475255012492,-5.426064237518823,24.304373875579934,35.083761006711676,left,left_1
